 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Vemund;35;24;33;24;24;36;28;40;23;28;
Vetle;139;121;110;112;131;133;131;128;135;139;
Victor;90;91;86;87;77;88;79;82;71;81;
Vidar;7;11;8;5;5;5;7;6;5;7;
Viktor;86;83;86;90;79;85;65;55;66;67;
Vilhelm;6;7;6;7;11;:;5;4;6;4;
Viljar;89;73;88;61;63;50;51;43;32;50;
Ville;10;7;6;5;6;4;:;:;:;:;
Vilmer;13;11;14;9;6;6;5;7;4;:;
Vincent;35;33;24;32;23;19;26;22;17;13;
Vinjar;9;8;8;5;4;11;6;6;5;:;
Walter;12;8;5;:;:;5;:;:;:;:;
Wiktor;11;16;8;12;19;15;19;10;12;11;
Wilhelm;30;34;29;33;24;22;15;12;17;11;
William;438;436;414;394;469;448;413;298;276;273;
Wilmer;12;18;10;10;10;13;5;:;:;:;
Wojciech;7;4;9;10;11;7;4;:;:;:;
Yahya;12;12;13;9;:;12;12;4;6;:;
Yasin;10;7;9;9;14;5;12;13;:;10;
Yngve;4;7;:;4;:;:;:;:;6;10;
Yosef;11;10;9;8;5;6;8;9;:;6;
Younes;5;4;7;:;:;7;6;4;10;6;
Yousef;14;11;14;10;19;13;13;13;6;7;
Yusuf;16;21;28;22;19;14;12;14;13;13;
Ørjan;8;7;7;14;20;18;14;31;48;37;
Øystein;5;10;17;11;15;9;18;18;19;28;
Øyvind;17;18;15;16;22;26;26;45;29;34;
Ådne;8;13;23;17;27;27;22;38;23;29;
Åsmund;17;14;27;22;23;17;22;24;19;14;
Zakaria;9;5;12;8;12;16;12;7;:;16;
Zander;5;7;:;:;5;4;4;5;10;4;
