 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Solveig;81;76;104;103;113;77;104;85;102;86;
Sonia;12;7;12;6;12;8;8;4;:;5;
Sonja;45;35;32;22;17;18;15;16;8;13;
Sophia;102;101;94;89;63;50;33;39;27;28;
Sophie;52;54;54;50;47;62;41;38;39;38;
Stella;74;64;82;89;83;73;72;47;54;37;
Stina;14;9;7;12;11;23;22;37;31;36;
Stine;28;30;34;28;53;58;67;85;113;108;
Sumaya;10;14;10;21;17;21;17;12;8;10;
Sundus;:;:;:;:;10;:;:;:;7;:;
Sunniva;94;103;108;110;132;130;117;142;140;161;
Susanna;6;5;8;7;8;10;7;6;6;7;
Susanne;18;29;16;19;24;31;26;38;47;59;
Synne;89;103;124;132;102;90;109;129;130;153;
Synnøve;18;22;16;25;17;14;28;21;29;24;
Tale;21;15;10;12;11;10;17;14;15;24;
Tara;8;16;14;11;16;13;18;24;26;21;
Tea;12;14;5;10;13;13;16;13;19;18;
Teja;8;11;12;7;4;:;:;:;:;:;
Thale;32;44;22;23;31;18;26;21;20;26;
Thea;311;301;312;367;374;422;407;497;492;497;
Thelma;27;23;19;26;29;24;19;17;17;16;
Therese;16;20;16;25;28;30;30;28;34;39;
Thilde;6;6;23;8;13;7;13;11;10;11;
Thora;:;:;:;5;6;7;7;:;4;11;
Tia;18;21;31;21;15;10;15;13;13;17;
Tilda;11;7;10;15;11;7;9;11;6;12;
Tilde;61;78;71;74;84;66;73;63;51;42;
Tilia;10;5;9;:;4;:;:;:;:;:;
Tilje;10;15;11;6;7;4;4;9;:;:;
Tilla;10;7;13;12;17;10;12;7;4;8;
Tina;5;11;25;18;24;32;41;38;47;55;
Tindra;14;13;13;11;16;19;12;13;13;4;
Tine;8;:;10;:;9;6;6;9;9;17;
Tiril;215;155;142;137;136;157;150;144;133;137;
Tirill;10;9;12;12;11;9;6;12;12;8;
Tomine;46;50;62;85;91;56;67;55;65;50;
Tone;8;6;8;8;11;21;21;16;13;13;
Tonje;9;6;11;9;26;23;33;28;44;40;
Tora;35;27;25;22;38;50;42;53;47;48;
Tove;:;:;4;:;4;4;:;:;6;14;
Trine;4;6;:;5;7;16;7;18;12;12;
Tuva;189;227;216;246;249;254;261;287;251;321;
Tyra;12;10;9;6;21;21;22;28;23;20;
Ugne;4;6;4;7;13;7;6;:;4;5;
Ulla;:;6;5;9;7;10;:;5;6;8;
Ulrikke;17;16;17;24;16;18;16;15;22;12;
Una;23;26;18;31;27;24;40;34;34;35;
Urte;:;7;11;6;6;9;14;5;4;:;
Valentina;11;15;8;17;9;8;7;10;5;4;
Vanessa;37;43;52;51;37;44;32;39;29;37;
Vanja;:;6;:;5;6;6;5;10;5;14;
Vega;9;12;:;:;:;:;4;:;:;:;
Vera;31;26;18;17;14;18;27;16;11;18;
Veronica;11;11;10;20;11;15;17;15;16;16;
Veronika;8;9;13;8;14;9;9;9;7;13;
Veslemøy;5;4;12;9;17;14;11;12;8;13;
Victoria;181;252;223;190;227;224;193;216;176;192;
Vida;27;27;29;12;14;8;10;9;4;5;
Viktoria;57;53;51;42;58;44;51;42;41;51;
Viktorija;4;8;5;:;7;:;6;5;4;11;
Vilde;247;235;254;235;277;289;279;312;291;268;
Vilja;58;60;54;54;63;41;31;26;35;34;
Vilje;32;40;39;32;22;19;22;15;6;9;
Villemo;6;11;5;6;9;8;6;5;4;:;
Vilma;47;36;50;41;40;39;34;49;25;4;
Viola;13;11;21;12;8;15;11;6;14;6;
Vivian;6;5;10;6;5;7;7;10;17;12;
Vår;7;8;7;7;8;15;14;11;12;19;
Vårin;16;24;22;24;10;16;18;12;14;13;
Weronika;:;4;5;6;6;14;8;12;15;12;
Wiktoria;10;13;11;18;29;25;34;32;33;29;
Wilma;29;30;28;34;33;24;32;33;23;12;
Yara;6;5;10;9;6;:;5;5;6;:;
Yasmin;18;18;24;27;15;18;17;25;20;22;
Ylva;72;67;67;74;63;62;46;60;54;67;
Yusra;11;9;8;10;21;9;6;9;5;6;
Åse;5;11;11;12;13;8;16;10;14;12;
Åshild;:;6;5;7;6;6;4;9;14;13;
Åsne;8;11;10;13;12;15;7;19;11;19;
Zahra;8;17;6;13;13;17;18;8;16;16;
Zainab;12;12;15;15;16;16;8;12;9;8;
Zara;17;5;12;9;17;15;16;15;16;14;
Zoe;8;15;5;13;9;11;8;5;7;8;
Zofia;12;13;16;11;12;14;8;11;7;6;
Zuzanna;29;33;27;24;21;35;22;31;13;19;
