Navn Kjønn
Birgitta Kv
Birita Kv
Birkir M
Birna Kv
Birni M
Birta Kv
Bjalla Kv
Bjarki M
Bjarma Kv
Bjarndis Kv
Bjarnfríð Kv
Bjarngrímur M
Bjarnheðin M
Bjarnhild Kv
Bjarni M
Bjarnvarður M
Bjarta Kv
Bjarti M
Bjartmar M
Bjartur M
Bjølla Kv
Bjørg Kv
Björg Kv
Bjørgfinnur M
Bjørgfríð Kv
Bjørgheðin M
Bjørghild Kv
Bjørgolvur M
Bjørgúlvur M
Björgvin M
Bjørk Kv
Björk Kv
Bjørn M
Björn M
Bjørt Kv
Björt Kv
Blair M
Blake M
Blanca Kv
Blanche Kv
Blas M
Blásius M
Blenda Kv
Blær M
Bo Kv
Bo M
Boas M
Bóas M
Bob M
Bobby M
Bogi M
Bonavento M
Borgar M
Borgfríð Kv
Borghild Kv
Borgný Kv
Borja M
Bóthild Kv
Bótolvur M
Boyd M
Brá Kv
Brá Kv
Brá Kv
Brad M
Bradley M
Bradley M
Bragi M
Bram M
Branca Kv
Brandar M
Brandon M
Brandur M
Brayan M
Brayden M
Brayen M
Brecht M
Breki M
Brenda Kv
Brendan M
Bresti M
Brestir M
Brialdur M
Brian M
Briek M
Bríet Kv
Brigida Kv
Brita Kv
Britt Kv
Broddi M
Broddur M
Brodie Kv
Brodie M
Brody M
Brogan Kv
Brooke Kv
Bruce M
Bruna Kv
Bruno M
Brúsi M
Bryan M
Bryce M
Bryndis Kv
Bryndís Kv
Bryngerð Kv
Brynhild Kv
Brynja Kv
Brynjar M
Brynjolvur M
Brynleivur M
Buenoventura M
Búgvi M
Búi M
Bursi M
Buster M
Bylgja Kv
Bænadikt M
Bænadikta Kv
Bødvar M
Børka Kv
Caesar M
Caiden M
Caitlin Kv
Caitlyn Kv
Cajsa Kv
Caleb M
Callan M
Callie Kv
Callum M
Calogero M
Calum M
Calvin M
Calypso Kv
Cameron Kv
Cameron M
Cameron M
Camilla Kv
Camille Kv
Camille M
Camillo M
Campbell M
Can M
Candela Kv
Candice Kv
Caoimhe Kv
Capucine Kv
Cara Kv
Caragh Kv
Caridad Kv
Carla Kv
Carlijn Kv
Carlo M
Carlos M
Carlota Kv
Carly Kv
Carmela Kv
Carmelo M
Carmen Kv
Cármen Kv
Càrmine M
Carolina Kv
Caroline Kv
Carrie Kv
Carson M
Carter M
Carys Kv
Cas M
Casey Kv
Caspar M
Casper M
Cassandra Kv
Cassandre Kv
Cassie Kv
Catalina Kv
Catarina Kv
Caterina Kv
Cathal M
Catharina Kv
Catherine Kv
Catilina Kv
Catriona Kv
Cayleigh Kv
Cayley Kv
Cécile Kv
Cecilia Kv
Cecília Kv
Cécilia Kv
Cedric M
Cedrik M
Céleste Kv
Célestin M
Célestine Kv
Celia Kv
Célian M
Celine Kv
Cerys Kv
Cesar M
César M
Cesare M
Cesarina Kv
Ceyda Kv
Chaïma Kv
Chaimae Kv
Chanel Kv
Chanelle Kv
Chantal Kv
Chantal Kv
Chantelle Kv
Charles M
Charley Kv
Charli Kv
Charlie Kv
Charlie M
Charline Kv
Charlotte Kv
Chelsea Kv
Chelsey Kv
Cheyenne Kv
Chiara Kv
Chloe Kv
Chloé Kv
Chris M
Christiaan M
Christoph M
Christof M
Christophe M
Christopher M
Chrystelle Kv
Cian M
Ciara Kv
Ciaran M
Cillian M
Cindy Kv
Cindy Kv
Ciro M
Claire Kv
Claire Kv
Clara Kv
Clarisse Kv
Claudia Kv
Claudio M
Cléa Kv
Clélia Kv
Clèlia Kv
Clémence Kv
Clément M
Clémentin M
Clementina Kv
Clémentine Kv
Cléo Kv
Clodagh Kv
Cloé Kv
Clovis M
Cody Kv
Coen M
Cole M
Colin M
Collin M
Coline Kv
Colm M
Conall M
Concepcion Kv
Concètta Kv
Conner M
Connie Kv
Connor M
Conor M
Constance Kv
Consuelo Kv
Cooper M
Cor Kv
Cor M
Coralie Kv
Coraline Kv
Corentin M
Corey M
Cormac M
Cornelia Kv
Cornelis M
Corrado M
Corrie Kv
Cosimo M
Courtney Kv
Craig M
Cris M
Cristian M
Cristián M
Cristiana Kv
Cristiána Kv
Cristiano M
Cristina Kv
Cristiaan M
Cristobal M
Cristóvão M
Crystal Kv
Curtis M
Cynthia Kv
Cyprien M
Cyril M
Daði M
Dagbjartur M
Dagbjørg Kv
Dagbjørn M
Dagbjørt Kv
Dagbjört Kv
Dagfinnur M
Dagfríð Kv
Dagmar Kv
Dagný Kv
Dagrún Kv
Dagunn Kv
Dagur M
Daire M
Daisy Kv
Dalia Kv
Damian M
Damien M
Dan M
Dana Kv
Dania Kv
Dánial M
Daniel M
Daniël M
Daníel M
Danièla Kv
Daniela Kv
Danièle M
Daniella Kv
Danielle Kv
Danjal M
Dánjal M
Dann M
Danny M
Dante M
Dante M
Danvør Kv
Daphné Kv
Daphnée Kv
Dara M
Darcey Kv
Darcie Kv
Darcy Kv
Daría Kv
Dario M
Darío M
Dário M
Dàrio M
Darragh M
Darren M
Darri M
Daryl M
Dauphine Kv
Dávi M
Davíð M
Dávid M
Dávið M
Dávur M
Davy M
Dawn Kv
Dean M
Deborah Kv
Declan M
Delphine Kv
Demetrio M
Demi Kv
Demmus M
Denis M
Denise Kv
Deniz M
Denize Kv
Dennis M
Denniz M
Denny M
Désirée Kv
Dexter M
Diana Kv
Diarmuid M
Díðrikur M
Diego M
Dieuwke Kv
Diewke Kv
Dilara Kv
Diljá Kv
Dillan M
Dillen M
Dillon M
Dimitri M
Dina Kv
Dina Kv
Dinna Kv
Dino M
Dion M
Dion M
Dionne Kv
Dirk M
Dís Kv
Dís Kv
Disa Kv
Ditleivur M
Djóni M
Dolores Kv
Domenica Kv
Domenico M
Domingo M
Dominic M
Donato M
Dora Kv
Dóra Kv
Dorian M
Doriane Kv
Dorien Kv
Doris Kv
Doris Kv
Dorotea Kv
Dorotea Kv
Doroteia Kv
Dorothea Kv
Dortea Kv
Douglas M
Drew M
Dries M
Dropleyg Kv
Drós Kv
Dröfn Kv
Duarte M
Dunaldur M
Duncan M
Durið Kv
Durita Kv
Duruta Kv
Dustin M
Dylan M
Døgg Kv
Dögg Kv
Daan M
Eabha Kv
Ebba Kv
Ebbi M
Ebony Kv
Edda Kv
Edda Kv
Eden Kv
Edit Kv
Edith Kv
Edmond M
Edmundo M
Edmundur M
Edna Kv
Edoardo M
Edouard M
Eduardo M
Edvard M
Edvin M
Edward M
Edwin M
Eemeli M
Eemil M
Eetu M
Egi M
Egidio M
Egídio M
Egil M
Egill M
Egin M
Egon M
Eik Kv
Eilidh Kv
Eilin Kv
Eilívur M
Eimear Kv
Eina Kv
Eindri M
Eino M
Eir Kv
Eira Kv
Eiri M
Eirika Kv
Eirikur M
Eiríkur M
Eivindur M
Elaine Kv
Elda Kv
Eldbjørg Kv
Eldbjørn M
Eldrið Kv
Eleanor Kv
Elena Kv
Eléna Kv
Èlena Kv
Eleonora Kv
Eli M
Eli M
Elí M
Elí M
Elia Kv
Elia M
Eliah M
Elian M
Elias M
Elías M
Elie M
Élie M
Eliesar M
Elin Kv
Elín Kv
Elín Kv
Elín Kv
Elín Kv
Elina Kv
Elinbjørg Kv
Elinborg Kv
Eline Kv
Elio M
Eliot M
Eliott M
Elis M
Elís M
Elisa Kv
Elisa Kv
Elísa Kv
Elisabet Kv
Elísabet Kv
Elísabet Kv
Elísabet Kv
Elísabet Kv
Elisabeth Kv
Elisabetta Kv
Elise Kv
Élise Kv
Eliza Kv
Elizabeth Kv
Elize Kv
Elke Kv
Ella Kv
Elle Kv
Elli Kv
Ellie Kv
Ellindur M
Elliot M
Ellis Kv
Ellis M
Elly Kv
Elma Kv
Elmano M
Elmar M
Elmeri M
Elna Kv
Elodie Kv
Elof M
Eloise Kv
Eloïse Kv
Éloïse Kv
Elsa Kv
Elsba Kv
Elsbet Kv
Elspa Kv
Elsuba Kv
Elsubet Kv
Elva Kv
Elvar M
Elvina Kv
Elvira Kv
Elvis M
Emanuel M
Emanuele M
Embla Kv
Emelia Kv
Emelie Kv
Emeline Kv
Emely Kv
Emelyne Kv
Emeric M
Emiel M
Emil M
Emile M
Emilia Kv
Emilía Kv
Emília Kv
Emilien M
Emilio M
Emílio M
Emìlio M
Emily Kv
Emilý Kv
Emir M
Emmanuel M
Emmanuelle Kv
Emmelie Kv
Emmeline Kv
Emmi Kv
Emmie Kv
Emmy Kv
Emre M
Emrik M
Emy Kv
Encarnacion Kv
Enes M
Engla Kv
Enna Kv
Ennio M
Enokur M
Enrica Kv
Enrico M
Enriqua Kv
Enrique M
Enzo M
Eoghan M
Eoin M
Eowyn Kv
Erasmo M
Erhard M
Eric M
Erica Kv
Erico M
Erico M
Erika Kv
Erin Kv
Erla Kv
Erlendur M
Erlingur M
Ermina Kv
Ernest M
Ernesto M
Ernèsto M
Ernir M
Ernst M
Eros M
Erwin M
Eryn Kv
Esbern M
Eskil M
Esma Kv
Esmar M
Esmée Kv
Esmundur M
Espérance Kv
Esperanza Kv
Esta Kv
Estanislao M
Esteban M
Estefanía Kv
Estefânio M
Estelle Kv
Ester Kv
Estevão M
Esther Kv
Estrið Kv
Estur Kv
Ethan M
Ettore M
Euan M
Eugenia Kv
Eugénia Kv
Eugenio M
Eugénio M
Eugènio M
Eusébio M
Evald M
Evan M
Eve Kv
Ève Kv
Evelien Kv
Eveliina Kv
Evelina Kv
Eveline Kv
Evelyn Kv
Evelyne Kv
Evi Kv
Evie Kv
Evy Kv
Ewan M
Ewen M
Eyð Kv
Eyðálvur M
Eyðbjartur M
Eyðbjørg Kv
Eyðbjørn M
Eyðbjørt Kv
Eyðdis Kv
Eyðfinnur M
Eyðfríð Kv
Eyðgerð Kv
Eyðgrímur M
Eyðgunn Kv
Eyðhild Kv
Eyði M
Eydís Kv
Eyðleivur M
Eyðleyg Kv
Eyðmundur M
Eydna Kv
Eyðolvur M
Eyðrið Kv
Eyðrun Kv
Eyðstein M
Eyðsvein M
Eyðtór M
Eyðun M
Eyður Kv
Eyðvarður M
Eyðvør Kv
Eyrún Kv
Eyþór M
Ezio M
Fábia Kv
Fabian M
Fabian M
Fabián M
Fabienne Kv
Fabio M
Fabio M
Fábio M
Fàbio M
Fabrício M
Faith Kv
Fálgeir M
Fannar M
Fanney Kv
Fannie Kv
Fanny Kv
Fanný Kv
Fausto M
Faye Kv
Febe Kv
Federica Kv
Federico M
Fee Kv
Fee M
Felice M
Felicia Kv
Felicitas Kv
Felipa Kv
Felipe M
Felisia Kv
Felix M
Felizia Kv
Femja Kv
Femke Kv
Ferdie M
Ferdinando M
Fergus M
Fern Kv
Fernanda Kv
Fernando M
Fernão M
Ferre M
Ferruccio M
Fia Kv
Fía Kv
Fidel M
Fideli Kv
Fien Kv
Filip M
Filipe M
Filippo M
Filippus M
Filomena Kv
Findlay M
Finja Kv
Finlay M
Finley M
Finnbjørg Kv
Finnbjørn M
Finnbogi M
Finnfríði M
Finngeir M
Finngerð Kv
Finnleivur M
Finnleyg Kv
Finnur M
Fiona Kv
Fionn M
Fípa Kv
Fjóla Kv
Flavie Kv
Flavio M
Flemmingur M
Fleur Kv
Flóki M
Floor Kv
Floor M
Flor M
Flora Kv
Flore Kv
Florence Kv
Florent M
Florian M
Florine Kv
Floris M
Flosi M
Flóvin M
Flykra Kv
Flynn M
Flæmingur M
Folke M
Franca Kv
Francesc M
Francesca Kv
Francèsco M
Francisca Kv
Francisco M
Franco M
François M
Frank M
Frans M
Franz M
Franziska Kv
Fraser M
Frauke Kv
Freddie M
Freddy M
Frédéric M
Frederica Kv
Frederick M
Frédérick M
Frederico M
Frédérique Kv
Fredrica Kv
Fredrika Kv
Frej M
Freja Kv
Freya Kv
Freyja Kv
Freyr M
Frida Kv
Fríða Kv
Fríðálvur M
Fríðbjartur M
Fríðbjørg Kv
Fríðbjørn M
Fríðborg Kv
Fríðfinnur M
Friðgerð Kv
Fríðgerð Kv
Fríðhild Kv
Fríði M
Fridleivur M
Fríðmundur M
Fríðolvur M
Friðrik M
Fríðrika Kv
Fríðrikur M
Fríðrun Kv
Fríðrún Kv
Fríðunn Kv
Fríður M
Fríðvør Kv
Frieda Kv
Frida Kv
Friederike Kv
Frederike Kv
Frímann M
Frits M
Fróða Kv
Fróðar M
Fróði M
Froya Kv
Froydis Kv
Froygerð Kv
Fulvio M
Fynn M
Finn M
Følva Kv
Gabrial M
Gabriel M
Gabríel M
Gabríela Kv
Gabriela Kv
Gabrièle M
Gabriella Kv
Gabrièlla Kv
Gabrielle Kv
Gaël M
