Navn Kjønn
Isobel Kv
Isolde Kv
Isaac M
Italia Kv
Italo M
Ivan M
Ivana Kv
Ívar M
Ivo M
Ivone Kv
Ivonne Kv
Izan M
Jacob M
Jacoba Kv
Jacobus M
Jacqueline Kv
Jacques M
Jade Kv
Jafet M
Jai M
Jaime M
Jak M
Jake M
Jakob M
Jacob M
Jakoba Kv
Jakobina Kv
Jákup M
Jallgrímur M
James M
Jamie Kv
Jamie M
Jana Kv
Jane Kv
Janina Kv
Janine Kv
Janita Kv
Jann M
Janna Kv
Janna Kv
Janneke Kv
Jannes M
Jannetje Kv
Jannis M
Jansý Kv
Jantje Kv
Janus M
Jari M
Jarleivur M
Jarmundur M
Jarno M
Jaro M
Jaron M
Jasmijn Kv
Jasmin Kv
Jasmina Kv
Jasmine Kv
Jason M
Jasper M
Jaspur M
Jastrið Kv
Jatmundur M
Játmundur M
Jatvarður M
Jaume M
Javier M
Javiera Kv
Jay M
Jayden M
Jayson M
Jean M
Jeanette Kv
Jeanine Kv
Jeanne Kv
Jef M
Jeff M
Jeffrey M
Jeffry M
Jelle M
Jelmer M
Jemma Kv
Jenis M
Jenna Kv
Jenne M
Jennie Kv
Jennifer Kv
Jenny Kv
Jenný Kv
Jensa Kv
Jensia Kv
Jente Kv
Jente M
Jere M
Jeremy M
Jérémy M
Jeroen M
Jérôme M
Jerónimo M
Jerry M
Jesar M
Jess Kv
Jesse M
Jessica Kv
Jessie Kv
Jessy Kv
Jessy M
Jesus M
Jesús M
Jesusa Kv
Jetta Kv
Jimena Kv
Jimmy M
Jinte Kv
Jitse M
Jitske Kv
Jóal M
Joan M
Jóan M
Joana Kv
Jóanes M
Jóanis M
Joanna Kv
Jóanna Kv
Joanne Kv
Jóannes M
Jóannis M
João M
Joaquim M
Joaquin M
Joaquín M
Joaquina Kv
Joaquína Kv
Job M
Jodi Kv
Jodie Kv
Jódis Kv
Joe M
Joel M
Jóel M
Joep M
Joeri M
Joery M
Joey M
Jófríð Kv
Jófríður M
Jógvan M
Jóhan M
Jóhann M
Johanna Kv
Jóhanna Kv
Jóhannes M
Jóhannis M
Jóhannus M
Jóhild Kv
Johnathan M
Joke Kv
Jolanda Kv
Jolanda Kv
Jolin Kv
Jolina Kv
Joline Kv
Jón M
Jona Kv
Jóna Kv
Jonah M
Jona M
Jónar M
Jónas M
Jónatan M
Jonathan M
Jónbjørg Kv
Jónfinnur M
Jónfríð Kv
Jóngerð Kv
Jónhard M
Jónheðin M
Jónhild Kv
Jóni M
Jónína Kv
Jónleivur M
Jónleyg Kv
Jonn M
Jonna Kv
Jonnhild Kv
Jónrið Kv
Jónstein M
Jónsvein M
Jónvá Kv
Jónvár Kv
Jónveig Kv
Jónvør Kv
Joona M
Joonatan M
Joost M
Jopie Kv
Joppe M
Joran M
Jordan M  ;oggml.fornavn
Jordi M
Jordie M
Jordy M
Jorge M
Joris M
Jorja Kv
Jorre M
Jórunn Kv
Jos M
José M
JoseMaria M
Jósef M
Josefa Kv
Josefien Kv
Josefiina Kv
Josefin Kv
Josefina Kv
Josefine Kv
Josep M
Joseph M
Josephine Kv
Josh M
Joshua M
Josse Kv
Josse M
Jóstein M
Jósup M
Josva M
Jósvein M
Jouri M
Jovina Kv
Jóvør Kv
Joy Kv
Joyce Kv
Jozefien Kv
Juan M
Juana Kv
Jude M
Judit Kv
Judith Kv
Juhani M
Juho M
Jule Kv
Julia Kv
Júlia Kv
Júlía Kv
Julian M
Julian M
Julián M
Júlian M
Julianna Kv
Juliano M
Julião M
Julien M
Juliette Kv
Julio M
Júlio M
Julius M
Július M
Júlíus M
June Kv
Juni Kv
Junia Kv
Junie Kv
Junior M
Jurre M
Júst M
Justa Kv
Jústa Kv
Justi M
Jústi M
Justin M
Jústines M
Jústinis M
Jústinus M
Justus M
Jutta Kv
Jutta Kv
Jútta Kv
Jøkil M
Jøkul M
Jökull M
Jørgun M
Jørmundur M
Jørundur M
Jaakko M
Jaan M
Jaap M
Kacey Kv
Kacie Kv
Kaden M
Kady Kv
Kai M
Kay M
Kaia Kv
Kaiden M
Kaitlin Kv
Kaitlyn Kv
Kajsa Kv
Kalle M
Kálvur M
Kamel M
Kamilla Kv
Kamma Kv
Kane M
Kara Kv
Kára Kv
Karen Kv
Kári M
Karin Kv
Karin Kv
Karina Kv
Karis Kv
Karita Kv
Karítas Kv
Karl M
Carl M
Karla Kv
Karlijn Kv
Karlina Kv
Karlyn Kv
Karoliina Kv
Karolina Kv
Karstin M
Kartni M
Kárunn Kv
Kasey Kv
Kaspar M
Katariina Kv
Katarina Kv
Kate Kv
Katelyn Kv
Katherine Kv
Kathryn Kv
Katie Kv
Katja Kv
Katla Kv
Katrien Kv
Katrijn Kv
Katrin Kv
Katrín Kv
Katrina Kv
Katy Kv
Kayden M
Kayla Kv
Kaylee Kv
Kayleigh Kv
Kayley Kv
Kayligh Kv
Keane M
Keegan M
Keeley Kv
Kees M
Keigan M
Keir M
Keira Kv
Keiran M
Kelly Kv
Kelsey Kv
Kelsi Kv
Kelsie Kv
Kenny M
Kenza Kv
Kenzie Kv
Kenzie M
Kenzo M
Kerr M
Kerri Kv
Kerry Kv
Kerys Kv
Ketil M
Kevin M
Keylee Kv
Keyleigh Kv
Keyley Kv
Kian M
Kiana Kv
Kiara Kv
Kiera Kv
Kieran M
Kieron M
Kilian M
Killian M
Kim Kv
Kim M
Kimberley Kv
Kimberly Kv
Kira Kv
Kirstin Kv
Kirsty Kv
Kjartan M
Klara Kv
Klára Kv
Kláus M
Klæmint M
Klaas M
Knútur M
Kobe M
Koen M
Kolbein M
Kolbeinn M
Kolbjørn M
Kolbrún Kv
Kolfinna Kv
Kolfinnur M
Kolgrímur M
Kolmundur M
Konrad M
Koraldur M
Korneel M
Kornelius M
Kornus M
Kris M
Krista Kv
Kristafár M
Kristbjørg Kv
Kristfríð Kv
Kristian M
Kristianna Kv
Kristiina Kv
Kristin Kv
Kristin M
Kristín Kv
Kristina Kv
Kristinbjørg Kv
Kristinn M
Kristjan M
Kristján M
Kristjana Kv
Kristjanna Kv
Kristleivur M
Kristmar M
Kristmundur M
Kristófer M
Kristoffur M
Kristopher M
Kristrun Kv
Kristrún Kv
Kristvør Kv
Kurt M
Kyan M
Kyana Kv
Kyano M
Kyara Kv
Kyla Kv
Kyle M
Kylian M
Kyllian M
Kyra Kv
Kyrri M
Kaan M
Kaarina Kv
Kaat Kv
Laban M
Lachlan M
Ladislao M
Laetitia Kv
Laia Kv
Laila Kv
Laïs Kv
Lalie Kv
Laly Kv
Lambert M
Lana Kv
Lara Kv
Lára Kv
Larissa Kv
Larvas M
Lassi M
Laufey Kv
Laura Kv
Làura Kv
Lauren Kv
Laurens M
Lauri M
Laurie Kv
Laurin M
Laurina Kv
Laurus M
Lauryn Kv
Lava Kv
Lavars M
Lavrans M
Lávus M
Layla Kv
Lázaro M
Lea Kv
Leah Kv
Leander M
Léandre M
Leandro M
Leanne Kv
Leão M
Lee M
Leevi M
Leia Kv
Leigh Kv
Leiki M
Leila Kv
Leïla Kv
Leire Kv
Leivur M
Len M
Lena Kv
Leni Kv
Lenie Kv
Lennard M
Lennon M
Lennox M etternavn(skotsk)>fornavn
Lenny M
Leny M
Leo M
Leó M
Leon M
León M
Leona Kv
Leóna Kv
Leonardo M
Leonie Kv
Leonie Kv
Leoni Kv
Leony Kv
Leonor Kv
Leonora Kv
Léopold M
Leroy M
Leslie Kv
Lesly Kv
Leticia Kv
Letizia Kv
Letìzia Kv
Levi M
Leví M
Levin M
Levy M
Lewis M
Lexie Kv
Leyre Kv
Leyton M
Leyvoy Kv
Li Kv
Lia Kv
Liam M
Lianne Kv
Lias M
Libby Kv
Lidia Kv
Lídia Kv
Lidia Kv
Lieke Kv
Lieke Kv
Lien Kv
Liene Kv
Lies Kv
Liese Kv
Lieselot Kv
Lieselotte Kv
Lieze Kv
Líf Kv
Líggjas M
Lila Kv
Lilian M
Liliana Kv
Lilith Kv
Lilja Kv
Lilly Kv
Lily Kv
Lín Kv
Lina Kv
Lind Kv
Linda Kv
Lindsay Kv
Lindsey Kv
Linnea Kv
Linnéa Kv
Lino M
Linus M
Lisa Kv
Lísa Kv
Lisabet Kv
Lisanne Kv
Lisbet Kv
Lísbita Kv
Lisen Kv
Lisette Kv
Lison Kv
Liss Kv
Lív Kv
Livia Kv
Livio M
Liza Kv
Lize Kv
Lizette Kv
Lo Kv
Lo M
Lóa Kv
Loan Kv
Loan M
Loane M
Lobke Kv
Lochlan M
Loðin M
Loes Kv
Loftur M
Logan M
Logi M
Lois Kv
Loïs Kv
Loïs M
Loïse Kv
Loke M
Lola Kv
Lona Kv
Lope M
Lore Kv
Loredana Kv
Lorena Kv
Lorenzo M
Lorènzo M
Lori Kv
Lotta Kv
Lotte Kv
Lotte Kv
Lou Kv
Lou M
Louis M
Louisa Kv
Louise Kv
Lourdes Kv
Lourenço M
Lova Kv
Love M
Lovisa Kv
Lovísa Kv
Lowa Kv
Lowe M
Luana Kv
Luc M
Luca M
Lucas M
Lucia Kv
Lucìa Kv
Luciana Kv
Luciàna Kv
Luciano M
Luciàno M
Lucie Kv
Lucien M
Lucio M
Lucy Kv
Ludovic M
Ludvík M
Luìgi M
Luìgia Kv
Luigina Kv
Luis M
Luís M
Luisa Kv
Luísa Kv
Luìsa Kv
Luka Kv
Luka M
Lukas M
Luke M
Lula Kv
Luna Kv
Lupicino M
Lusia Kv
Luuk M
Luz Kv
Lý Kv
Lýðar M
Lydia Kv
Lýdia Kv
Lydie Kv
Lýður M
Lykke Kv
Lykkir M
Lærke Kv
Løðar M
Laars M
Mackenzie Kv
Mackenzie M
Macy Kv
Madalena Kv
Maddalena Kv
Maddison Kv
Madeleine Kv
Madelen Kv
Madelene Kv
Madeline Kv
Madison Kv
Maeve Kv
Mafalda Kv
Magda Kv
Magdalena Kv
Magga Kv
Magna Kv
Magnar M
Magnea Kv
Magnhild Kv
Magni M
Magnus M
Magnús M
Maia Kv
Maïa Kv
Maibrit Kv
Maik M
Maika Kv
Maikel M
Maïlys Kv
Maïlys Kv
Mairi Kv
Maisie Kv
Maisól Kv
Maite Kv
Maité Kv
Maks M
Malan Kv
Malcolm M
Malena Kv
Malfríð Kv
Málfríð Kv
Malja Kv
Malla Kv
Malte M
Malthe M
Malvina Kv
Malvinus M
Mandy Kv
Manfred M
Máni M
Mannbjørn M
Manni M
Manon Kv
Manuel M
Manuela Kv
Mar Kv
Mar M
Már M
Mar Kv
Mara Kv
Marc M
Marcel M
Marcella Kv
Marcello M
Marco M
Marcos M
Marcus M
Maren Kv
Margarida Kv
Margarita Kv
Margaux Kv
Margeir M
Margherita Kv
Margit Kv
Margo Kv
Margot Kv
Margret Kv
Margrét Kv
Margreta Kv
Margunn Kv
Maria Kv
María Kv
Marìa Kv
MariaDelCarmen Kv
MariaJesus Kv
MariaJose Kv
Mariam Kv
Mariana Kv
Marianna Kv
Mariano M
Marið Kv
Marieke Kv
Mariella Kv
Marielle Kv
Marie-Lou Kv
Marietje Kv
Marika Kv
Marike Kv
Marilou Kv
Marin Kv
Marin M
Marín Kv
Marina Kv
Marine Kv
Marino M
Marinus M
Mario M
Mário M
Màrio M
Marion Kv
Marisa Kv
Mariska Kv
Marit Kv
Marita Kv
Marius M
Marja Kv
Marjolein Kv
Marjun Kv
Marjus M
Mark M
Marko M
Markus M
Marleen Kv
Marley M
Marloes Kv
Marlon M
Marna Kv
Marnar M
Marnhild Kv
Marni M
Marouane M
Marta Kv
Marten M
Marti M
Martijn M
Martin M
Martín M
Martina Kv
Martine Kv
Martinho M
Marvin M
Marý Kv
Maryam Kv
Masa Kv
Mason M
Mass M
Massimo M
Mateo M
Matheo M
Mathéo M
Mathew M
Mathieu M
Mathijs M
Mathys M
Matilda Kv
Matilde Kv
Matis M
Matisse M
Mats M
Mattas M
Matteo M
Matteus M
Matthéo M
Matthew M
Matthías M
Matthijs M
Matthild Kv
Matthildur Kv
Matthis M
Matti M
Mattias M
Mattieu M
Maud Kv
Maud Kv
Maude Kv
Máur M
Maureen Kv
Maurice M
Maurice M
Mauricio M
Maurício M
Maurizio M
Mauro M
Max M
Maxime M
Maximilian M
Maximiliano M
Maximilien M
Maximillian M
Maximilliano M
Maximus M
Maxine Kv
Maxwell M
Maya Kv
Megan Kv
Meghan Kv
Meinar M
Meinhard M
Melanie Kv
Melany Kv
Melina Kv
Melinda Kv
Méline Kv
Melisa Kv
Melissa Kv
Melker M
Melkir M
Melkjor M
Mélodie Kv
Melody Kv
Melvin M
Mendie Kv
Menno M
Mercedes Kv
Merel Kv
Merle Kv
Merrý Kv
Mert M
Merve Kv
Meryem Kv
Metta Kv
Meya Kv
Mhairi Kv
Mia Kv
Michael M
Michaël M
Michaela Kv
Michel M
Michele M
Michèle Kv
Michelle Kv
Miel M
Mien Kv
Mien M
Miguel M
Mika Kv
Mika M
Mikael M
Mikal M
Mikala Kv
Mike M
Mikey M
Mikkjal M
Mila Kv
Milagros Kv
Milan M
Milan M
Mildrið Kv
Milena Kv
Milja Kv
Milla Kv
Millie Kv
Milly Kv
Milo M
Milou Kv
Mimmi Kv
Mina Kv
Minna Kv
Minna Kv
Minne Kv
Mio M
Mira Kv
Mira Kv
Miranda Kv
Mireia Kv
Mirella Kv
Miriam Kv
Mirin Kv
Mirja Kv
Mirjam Kv
Mirjam Kv
Mirko M
Mirren Kv
Mirrin Kv
Mirte Kv
Mist Kv
Mitch M
Mitchel M
Mitchell M
Mitchill M
Miya Kv
Mjöll Kv
Moa Kv
Moises M
Moisés M
Mollie Kv
Molly Kv
Monica Kv
Moniek Kv
Monika Kv
Monique Kv
Montserrat Kv
Morgan Kv
Morgan M
Morgan M
Morgane Kv
Morið Kv
Mórits M
Morris M
Mortan M
Mórus M
Morven Kv
Moses M
Móses M
Murdo M
Murray M
Murron Kv
My Kv
Mya Kv
Myles M
Mylou Kv
Myra Kv
Myrna Kv
Myrthe Kv
Myrtille Kv
Mækir M
Maaike Kv
Måns M
Mårten M
Maarten M
Maartje Kv
Naddoddur M
Nadia Kv
Nadine Kv
Nadja Kv
Naiara Kv
Naina Kv
Nairn M
Nand M
Nando M
Nanna Kv
Nanna Kv
Nanný Kv
Nanou Kv
Nansý Kv
Naomi Kv
Naomie Kv
Naomy Kv
Napoleão M
Napoleon M
Napoleón M
Napoleóne M
Narvi M
Natale M
Natalia Kv
Natalia Kv
Natalie Kv
Natalina Kv
Natan M
Nátan M
Natasha Kv
Natasja Kv
Nathaley Kv
Nathalie Kv
Nathan M
Nathanael M
Nathanaël M
Nathaniel M
Natividad Kv
Nayara Kv
Nea Kv
Neave Kv
Neeltje Kv
Neil M
Nele M
Nele Kv
Neele Kv
Nell Kv
Nella Kv
Nelle Kv
Nelle M
Nelli Kv
Nellie Kv
Nello M
Nelly Kv
Nelson M
Nemi Kv
Nemo M
Nemus M
Neo M
Nerea Kv
Nette Kv
Neve Kv
Nevio M
Niall M
Niamh Kv
Nick M
Nicky M
Nico M
Nicola Kv
Nicolau M
Nicole Kv
Nicolo M
Nicolaas M
Niek M
Niel M
Niels M
Nienke Kv
Nieves Kv
Nik M
Nike Kv
Nikita Kv
Nikita M
Nikki M
Nikky M
Niklái M
Niklas M
Niko M
Niko M
Nikodemus M
Nikolina Kv
Nils M
Ninna Kv
Nino M
Nisa Kv
Nita Kv
Njál M
Njálur M
Noa M
Noa Kv
Noah M
Noak M
Noé M
Noè M
Noel M
Noël M
Noelia Kv
Noelia Kv
Noelle Kv
Noemi Kv
Noémie Kv
Nói M
Nomi Kv
Noomi Kv
Noora Kv
Nora Kv
Norðbjørt Kv
Norðleivur M
Nore M
Norma Kv
Norton M
Nótt Kv
Nova Kv
Nunzia Kv
Nuria Kv
Nynke Kv
Océane Kv
Oda Kv
Oddbjørg Kv
Oddbjørn M
Oddfinnur M
Oddfríð Kv
Oddfríður M
Oddgeir M
Oddgerð Kv
Oddleivur M
Oddleyg Kv
Oddmar M
Oddmundur M
Oddný Kv
Oddrún Kv
Oddur M
Oddvá Kv
Oddvaldur M
Oddvar M
Oddveig Kv
Oddvør Kv
Odile Kv
Óðin M
Óðinn M
Ofelia Kv
Oisin M
Óla M
Ólafur M
Olavi M
Ólavur M
Olgar M
Óli M
Ólivar M
Olive Kv
Oliver M
Óliver M
Olivia Kv
Olivier M
Olivina Kv
Olivur M
Oliwer M
Oliwia Kv
Olle M
Ollie M
Olliver M
Oluffa Kv
Óluva Kv
Ólöf Kv
Ómar M
Onni M
Onundur M
Oona Kv
Oran M
Orazio M
Oreste M
Oriol M
Orla Kv
Orlaith Kv
Orlando M
Ormar M
Ormstein M
Ormur M
Ornella Kv
Orri M
Oscar M
Ósk Kv
Oskar M
Óskar M
Oskari M
Ossian M
Ottar M
Óttar M
Ottavio M
Otto M
Ovi M
Owen M
Oydis Kv
Oygerð Kv
Oygló Kv
Oygrímur M
Oyleivur M
Oyleyg Kv
Oymundur M
Oyolvur M
Oystein M
Oyvindur M
Oyvør Kv
Pablo M
Padraig M
Paige Kv
Pál M
Páll M
Palli M
Palma Kv
Pálma Kv
Paloma Kv
Paola Kv
Pàolo M
Paris Kv
Pascal M
Pascale Kv
Pascual M
Pasquale M
Pasqualina Kv
Patrekur M
Patricia Kv
Patrick M
Patrik M
Pátrikur M
Patrizia Kv
Pau M
Paula Kv
Pauli M
Paulien Kv
Pauliina Kv
Paulina Kv
Pauline Kv
Paulo M
Pavla Kv
Pedro M
Pelle M
Pénélope Kv
Penny Kv
Pepijn M
Per M
Perla Kv
Perla Kv
Perle Kv
Perrine Kv
Peter M
Petra Kv
Petrik M
Petrina Kv
Petronella Kv
Petrus M
Petteri M
Petur M
Pétur M
Phebe Kv
Phil M
Philippa Kv
Philippe M
Phoebe Kv
Pia Kv
Pièra Kv
Pierina Kv
Pierino M
Piero M
Pierre M
Piet Kv
Piet M
Pieter M
Piètro M
Píl Kv
Pilar Kv
Pim M
Pinja Kv
Plácido M
Pol M
Pól M
Póla Kv
Poli M
Pólina Kv
Pontus M
Poppy Kv
Poul M
Poula Kv
Poulina Kv
Preston M
Primo M
Priscilla Kv
Purificacion Kv
Pætur M
Quentin M
Quinten M
Rachael Kv
Rachel Kv
Rafael M
Rafaël M
Raffaele M
Ragna Kv
Ragnfríð Kv
Ragnheiður Kv
Ragnhildur Kv
Ragnvaldur M
Raimundo M
Rakel Kv
Rakul Kv
Ralph M
Ramon M
Ramón M
Ramóna Kv
Rán Kv
Randarsól Kv
Randfríð Kv
Randi Kv
Randið Kv
Randver M
Randy M
Rani M
Ranja Kv
Rannfríð Kv
Rannvá Kv
Rannveig Kv
Rannvør Kv
Raphael M
Raphaël M
Raphaëlle Kv
Raquel Kv
Rasmus M
Raul M
Raúl M
Ravnhild Kv
Ravnur M
Raymon M
Raymond M
Rebeca Kv
Rebecca Kv
Rebekah Kv
Rebekka Kv
Reece M
Regin M
Reiðar M
Reiðgunn Kv
Reiðunn Kv
Reimar M
Reinaldo M
Reinaldur M
Reinar M
Reinir M
Reiss M
Remco M
Remedios Kv
Remi M
Rémi M
Remo M
Remon M
Remy M
Rémy M
Renata Kv
Renata Kv
Renato M
René M
René M
Renée Kv
Rens M
Renzo M
Reuben M
Revna Kv
Reynir M
Rhianna Kv
Rhiannon Kv
Rhys M
Ria Kv
Rian M
Rianne Kv
Ricarda Kv
Ricardo M
Riccardo M
Richard M
Rick M
Rik M
Ríkaldur M
Rikard M
Ríkin M
Rikka Kv
Riley M
Rim Kv
Rina Kv
Rinaldo M
Rio M
Rita Kv
Rita Kv
Ritva Kv
Ró Kv
Róa Kv
Róaldur M
Roan M
Róar M
Rob M
Robbe M
Robbie M
Robert M
Róbert M
Roberta Kv
Roberto M
Robèrto M
Robin Kv
Robin M
Robyn Kv
Ròcco M
Rocio Kv
Roda Kv
Róða Kv
Róðbjartur M
Roderico M
Rodleivur M
Rodmar M
Rodmundur M
Rodolfo M
Róðolvur M
Rodrigo M
Roeland M
Roger M
Rogério M
Rógvi M
Rohan M
Róhild Kv
Rói M
Roisin Kv
Rókur M
Róland M
Rolando M
Rólant M
Rólvur M
Roman M
Romano M
Romeo M
Roméo M
Romi Kv
Rómundur M
Romy Kv
Ron M
Ronan M
Ronja Kv
Ronni M
Ronya Kv
Roos Kv
Rory M
Rós Kv
Rosa Kv
Rósa Kv
Ròsa Kv
Rosalia Kv
Rosalie Kv
Rosanna Kv
Rosaria Kv
Rosario Kv
Rosario M
Rose Kv
Rosie Kv
Rosina Kv
Rósingur M
Ross M
Rowan Kv
Rowan M
Roxane Kv
Roxanne Kv
Royða Kv
Ruairi M
Ruairidh M
Ruari M
Ruaridh M
Rubekur M
Ruben M
Ruby Kv
Rudi Kv
Rudi M
Rudolfo M
Rufus M
Rún Kv
Rúna Kv
Rúnar M
Rúni M
Rúnolvur M
Rut Kv
Rutger M
Ruth Kv
Rutt Kv
Ruud M
Ryan M
Røgnvaldur M
Røskva Kv
Sabine Kv
Sabrina Kv
Sabrine Kv
Sacha Kv
Sacha M
Sadhbh Kv
Sadie Kv
Safa Kv
Saga Kv
Sakari M
Sakarias M
Sakaris M
Sakir M
Saksi M
Sálamon M
Salbjørg Kv
Saldis Kv
Salgerð Kv
Salma Kv
Salmundur M
Salný Kv
Saloma Kv
Salomão M
Sálomon M
Salvador M
Salvadora Kv
Salvatore M
Salvatòre M
Salvør Kv
Sam M
Sámal M
Samanta Kv
Samantha Kv
Samira Kv
Sammy M
Samson M
Samuel M
Samuël M
Sámuel M
Samuel M
Sámur M
Samy M
Sander M
Sandra Kv
Sandur M
Sandy Kv
Sandy M
Sanna Kv
Sanna Kv
Sanne Kv
Sanne Kv
Sanni Kv
Sansão M
Santa Kv
Sante M
Santeri M
Santiago M
Santina Kv
Santo M
Saoirse Kv
Sara Kv
Sára Kv
Sarah Kv
Saranja Kv
Saray Kv
Sarita Kv
Sascha M
Sasha Kv
Sasha M
Saskia Kv
Saul M
Savannah Kv
Saverio M
Scarlett Kv
Scott M
Sean M
Sebastian M
Sebastián M
Sebastiána Kv
Sebastiano M
Sebastião M
Sébastien M
Sebastiaan M
Selena Kv
Selin Kv
Selina Kv
Selinda Kv
Selma Kv
Selmar M
Sem M
Senan M
Senita Kv
Senne M
Seppe M
Sergi M
Sergio M
Sèrgio M
Servin M
Sesilia Kv
Set M
Seth M
Severiano M
Sevrin M
Shane M
Shannon Kv
Sharon Kv
Shaun M
Shauna Kv
Shay M
Shayan M
Shayne M
Sheila Kv
Shelby Kv
Shirley Kv
Sidney Kv
Sidney M
Sienna Kv
Sif Kv
Sigbjartur M
Sigbjørg Kv
Sigbjørn M
Sigborg Kv
Sigbrandur M
Sigbrit Kv
Sigfríð Kv
Sigfríður M
Sigfús M
Sigga Kv
Sigge M
Sighvatur M
Sigmar M
Sigmundur M
Signa Kv
Signar M
Signhard M
Signheðin M
Signhild Kv
Signild Kv
Signuva Kv
Signý Kv
Sigrið Kv
Sigríður Kv
Sigrun Kv
Sigrún Kv
Sigtór M
Sigurbjørg Kv
Sigurbjörg Kv
Sigurd M
Sigurð M
Sigurður M
Sigurgunn Kv
Sigurjón M
Sigurlaug Kv
Sigurleyg Kv
Sigvaldur M
Sigvar M
Sigvør Kv
Siiri Kv
Sila Kv
Silas M
Silas M
Silja Kv
Silke Kv
Silrið Kv
Silvana Kv
Silvano M
Silvia Kv
Silvio M
Silvurlín Kv
Simão M
Símeon M
Simon M
Simona Kv
Simona Kv
Simone Kv
Símun M
Sindri M
Sinead Kv
Siobhan Kv
Sirið Kv
Sirius M
Sissal Kv
Siv Kv
Sívar M
Sixten M
Sjoerd M
Sjúrði M
Sjúrður M
Sjöfn Kv
Skeggi M
Skofti M
Skúli M
Skúvur M
Sky Kv
Skye Kv
Smári M
Smilla Kv
Sniolvur M
Snjófríð Kv
Snorri M
Snæbjørg Kv
Snæbjørn M
Snædís Kv
Snæfríð Kv
Snæleyg Kv
Snær M
Snæúlvur M
Snævar M
Soffía Kv
Sofia Kv
Sofía Kv
Sofie Kv
Sofus M
Sol Kv
Sól Kv
Sólbirta Kv
Sólbjartur M
Sólbjørg Kv
Sólbjørn M
Sólbjørt Kv
Sólborg Kv
Sólbrit Kv
Sólbrún Kv
Sóldís Kv
Soledad Kv
Solen Kv
Solène Kv
Sóley Kv
Sóleyð Kv
Sólfinnur M
Sólfríð Kv
Sólgerð Kv
Sólja Kv
Sólmundur M
Sólrið Kv
Sólrun Kv
Sólvá Kv
Solveig Kv
Sólveig Kv
Sólvør Kv
Sonia Kv
Sonja Kv
Sonnhard M
Sonni M
Sonny M
Sony M
Sophia Kv
Sophie Kv
Soraya Kv
Sproti M
Stacey Kv
Stacy Kv
Staf M
Stan M
Stanley M
Stef M
Stefan M
Stefán M
Stefania Kv
Stefanía Kv
Stefanie Kv
Stefano M
Steff M
Steffan M
Steinbjarta Kv
Steinbjørn M
Steinfinnur M
Steingerð Kv
Steingrímur M
Steinmundur M
Steinn M
Steinoddur M
Steinolvur M
Steintór M
Steintóra Kv
Steinunn Kv
Steinur M
Steinvør Kv
Stella Kv
Stephan M
Stephanie Kv
Stephen M
Stevanie Kv
Steven M
Stewart M
Steyn M
Stígur M
Stijn M
Stina Kv
Struan M
Stuart M
Sude Kv
Suffía Kv
Sullivan M
Sullyvan M
Summaldur M
Summarliði M
Summer Kv
Súna Kv
Súnbjørt Kv
Súnfríð Kv
Súnhild Kv
Suni M
Súni M
Súnmundur M
Sunna Kv
Sunnbjørg Kv
Sunneva Kv
Sunnfríð Kv
Sunnhild Kv
Sunniva Kv
Sunnleivur M
Sunnleyg Kv
Sunnrið Kv
Sunnvá Kv
Sunnvar M
Sunnvør Kv
Susan Kv
Susana Kv
Susanna Kv
Súsanna Kv
Suzanne Kv
Svanbjørg Kv
Svanfríð Kv
Svanhild Kv
Svanhildur Kv
Svanleyg Kv
Svanna Kv
Svante M
Sváva Kv
Svava Kv
Svávar M
Svea Kv
Sveinbjørn M
Sveinn M
Sveinungur M
Sveinur M
Sven M
Svenja Kv
Svenningur M
Sverri M
Sverrir M
Swen M
Sydney Kv
Sydney M
Syftun M
Sylvia Kv
Syrine Kv
Sæbjørg Kv
Sæbjørn M
Sædis Kv
Sæfinnur M
Sæfríð Kv
Sæmundur M
Sæunn Kv
Sævar M
Sølmundur M
Sølva Kv
Sølvá Kv
Sølvar M
Sølvi M
Sölvi M
Sølvør Kv
Sørin M
Sørkvi M
Sørli M
Saar Kv
Saar M
Saartje Kv
Tabea Kv
Tabita Kv
Tabitha Kv
Tadeo M
Tadeu M
Tadhg M
Tage M
Talia Kv
Talita Kv
Tamara Kv
Tammy Kv
Tamzin Kv
Tania Kv
Tanja Kv
Tapani M
Tapio M
Tara Kv
Taylor Kv
Taylor M
Tea Kv
Teagan Kv
Teddy M
Tegan Kv
Teigan Kv
Teinar M
Teitrun Kv
Teitur M
Tekla Kv
Telma Kv
Teo M
Teodor M
Teodora Kv
Teodoro M
Teresa Kv
Terese Kv
Terji M
Tess Kv
Tessa Kv
Texas M
Thalia Kv
Thea Kv
Thelma Kv
Theo M
Theodora Kv
Théodore M
Theodorus M
Thibaud M
Thibault M
Thibaut M
Thibe M
Thibeau M
Thibo M
Thijs M
Thilda Kv
Thilde Kv
Thim M
Thindra Kv
Thom M
Thomas M
Thor M
Þór M
Þóra Kv
Þórarinn M
Þorbjörg Kv
Þórdís Kv
Þórður M
Þórey Kv
Þórir M
Þorri M
Þorsteinn M
Þórunn Kv
Þorvaldur M
Þuríður Kv
Thyra Kv
Þöll Kv
Tia Kv
Tiago M
Tibe M
Tibo M
Tíðrikur M
Tiebe M
Tiegan Kv
Tiffany Kv
Tiger M
Tijl M
Tijs M
Tilda Kv
Tilde Kv
Tilia Kv
Till M
Til M
Tilly Kv
Tim M
Timéo M
Timmie M
Timmy M
